total_calls,mean_tow_miles,credit_ranges_below_700,credit_ranges_between_700___799,education_some_college,generation_millenials__1981___1993_,income_100k_,income_under_39999,aaa_financial_service_0,no_members_3___member,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,occupation_group_professional,mosaic_global_household_hard_working_blue_collar,mosaic_global_household_low_income_elders,aaa_motorcycle_indicator_0_0,aaa_deposit,membership_id,yes_deposit
0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3372,0.0
26.0,2.88,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3387,0.0
0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3391,0.0
6.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3394,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3412,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3418,0.22716627634660444
0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3423,0.0
3.0,0.0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,3456,0.0
2.0,0.375,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,3470,0.0
2.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3487,0.0
24.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3489,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3504,0.22716627634660444
0.0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3515,0.0
0.0,2.6,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3520,0.0
2.0,1.054545,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3536,0.0
5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3557,0.0
80.0,5.10625,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,3562,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3569,0.22716627634660444
12.0,2.5333330000000003,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,3579,0.0
5.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3586,0.0
5.0,0.0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,3599,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3682,0.0
0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3696,0.0
6.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3716,0.0
0.0,0.0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,3734,0.0
0.0,3.26,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3737,0.0
15.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3762,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3768,0.8464912280701768
0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3774,0.0
3.0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3780,0.0
0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3789,0.0
0.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3792,0.0
3.0,2.34,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3812,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3839,0.0
0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3847,0.0
0.0,0.75,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3855,0.0
1.0,4.733333,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,3860,0.0
21.0,1.7777779999999999,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3883,0.0
2.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3884,0.0
0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3913,0.0
2.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3921,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3934,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3955,0.8464912280701768
3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3956,0.0
37.0,1.307692,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3959,0.0
4.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4011,0.0
1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4036,0.0
6.0,0.333333,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4055,0.0
0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4056,0.0
0.0,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4063,0.0
0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,4070,0.3598076923076923
2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4075,0.0
17.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4095,0.0
2.0,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,4099,0.0
