length_of_residence,total_members_in_household,mean_total_calls_veh,income_100k_,income_40___99999,credit_ranges_800_,education_completed_college,generation_baby_boomers__1948___1968_,generation_generation_x__1969___1980_,generation_post_war____1948_,aaa_financial_service_0,aaa_credit_card_0,occupation_group_management,occupation_group_professional,occupation_group_retired,kcl_b_ind_mosaicsgrouping_singles_and_starters,aaa_motorcycle_indicator_1_0,tenure_between_21___40_years,aaa_travel_0,no_members_3___member,aaa_cancel,membership_id,will_cancel_prob
5.7143,4,2.5485,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2131,0.42263636363636364
0.0,1,2.4416,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,2134,0.4564827586206897
12.2,2,2.5485,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2146,0.12
0.8182,3,2.5107,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,2155,0.1
0.0,2,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,2171,1.0
2.8571,5,2.9578,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,2193,0.11
0.3333,3,0.1645,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,2222,0.13
0.0,2,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2225,0.72
5.0,2,2.5107,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,2255,0.08
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2259,1.0
0.0,1,0.1645,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2269,0.13
2.0,2,2.5485,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2270,0.32807017543859657
0.0,1,3.522,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2272,1.0
13.0,1,0.1645,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,2286,0.355
0.0,1,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2301,1.0
7.5,2,3.7444,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,2313,0.36
9.0,1,2.4416,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,2330,0.18
6.4286,4,2.4058,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2351,0.08
15.0,2,2.5485,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2366,0.06
10.4,4,2.5107,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2395,0.12
15.0,3,0.1645,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2413,0.61
13.0,1,2.5485,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2423,0.14
14.0,1,2.4416,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2452,0.3222222222222222
4.6667,3,2.4416,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,2455,0.05
11.25,2,2.9578,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2459,0.142
8.7778,3,2.6025,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,2464,0.34
13.3333,3,2.8409,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,2485,0.13
0.0,2,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2519,1.0
13.0,1,3.1964,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,2550,0.125
6.5,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2553,1.0
7.5,2,2.4416,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2573,0.214
0.0,2,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2590,1.0
15.0,3,2.8049,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,2599,0.02
5.0,1,2.8938,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2607,0.07
10.25,3,2.5107,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,2666,0.11
14.0,1,2.5485,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2667,0.09
7.0,1,0.1645,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2685,0.15
3.5,2,0.1645,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2695,1.0
3.0,3,0.1645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2696,0.5
6.7143,5,2.8938,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2733,0.14
15.0,1,2.9578,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2739,1.0
0.0,3,3.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2762,0.1233044733044733
9.4444,5,2.7486,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2763,1.0
1.0,2,0.1645,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2766,0.09
0.0,1,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,2783,1.0
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2789,1.0
15.0,2,3.0681,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2804,0.34
0.0,3,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2808,1.0
1.125,4,2.8848,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,2829,0.39
5.3333,2,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2831,1.0
5.0,4,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2836,1.0
0.0,2,0.1645,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2850,1.0
5.0,2,2.5107,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2853,0.4013333333333333
15.0,1,3.8462,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,2872,0.1
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2907,1.0
0.0,2,2.9578,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2929,1.0
0.0,2,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,2932,1.0
0.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2939,1.0
7.0,2,0.1645,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2946,0.08
10.0,2,3.0681,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,2991,0.2
1.4545,3,1.3846,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,3013,0.16
11.25,3,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,3025,1.0
7.75,4,0.1645,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,3041,0.34
5.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3050,1.0
10.0,3,0.1645,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,3058,0.27
10.0,2,0.1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3062,1.0
0.0,1,2.6569,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,3066,0.07
12.0,1,2.4416,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3067,0.14
9.5,2,2.9578,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,3072,0.07
15.0,1,2.8049,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,3085,0.15
