total_calls,mean_basic_cost,generation_baby_boomers__1948___1968_,no_members_2___member,no_members_3___member,kcl_b_ind_mosaicsgrouping_boomers,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,aaa_auto_insurance_0,occupation_group_management,occupation_group_retired,mosaic_global_household_routine_service_workers,aaa_motorcycle_indicator_1_0,aaa_home_equity,membership_id,yes_home_equity
1.0,0.0,0,0,0,0,0,1,0,0,1,0,0,2286,0.01
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,2301,0.0
1.0,13.5,1,1,0,1,0,1,0,1,1,1,0,2313,0.0
6.0,31.5,0,0,0,0,0,0,0,1,0,1,0,2330,0.0
8.0,22.428570999999998,1,0,0,0,0,1,0,0,0,1,0,2351,0.0
1.0,15.0,0,1,0,0,0,1,0,0,0,0,0,2366,0.0
4.0,19.6,1,0,0,0,0,0,0,0,0,0,1,2395,1.0
0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,2413,0.0
2.0,30.5,0,0,0,0,0,1,0,0,0,0,0,2423,0.0
6.0,53.0,0,0,0,0,0,1,0,1,0,0,0,2452,0.0
0.0,17.666667,1,0,1,0,0,1,0,0,0,0,0,2455,0.0
6.0,22.375,0,1,0,1,0,1,0,1,1,0,0,2459,0.0
14.0,34.427778,0,0,1,0,0,1,0,0,0,1,0,2464,0.0
14.0,25.305556,0,0,1,0,0,0,0,1,0,1,0,2485,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2519,0.0
1.0,58.85,0,0,0,0,0,1,0,1,1,1,0,2550,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2553,0.0
0.0,26.5,0,1,0,0,0,1,0,0,0,0,0,2573,0.0
0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,2590,0.0
7.0,29.425,1,0,1,0,1,1,1,0,1,1,0,2599,0.08
15.0,51.34,1,0,0,1,0,1,0,0,0,1,0,2607,0.0
2.0,35.4625,1,0,1,0,0,1,0,0,1,1,0,2666,0.0
0.0,53.0,0,0,0,0,1,1,0,0,1,0,0,2667,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,2685,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2695,0.0
2.0,35.333333,0,0,1,0,0,1,0,0,0,0,0,2696,0.0
4.0,23.571429000000002,0,0,0,0,1,0,1,0,0,0,0,2733,0.01
4.0,26.5,0,0,0,0,0,1,0,0,0,0,0,2739,0.0
18.0,42.7275,1,0,1,0,0,0,0,0,0,1,0,2762,0.0
13.0,26.666666999999997,1,0,0,0,0,0,0,0,0,1,0,2763,0.0
0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,2766,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2783,0.0
0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,2789,0.0
1.0,26.5,0,1,0,0,0,1,0,1,0,0,0,2804,0.0
8.0,10.75,0,0,1,0,0,1,0,0,0,1,0,2808,0.0
27.0,49.633125,1,0,0,0,0,0,0,1,0,1,0,2829,0.0
