FCST Error Test,FCST Error Train,FCST Total Cost Test,FCST Total Cost Train,total_cost,estimated_cost,membership_id
0.0,0.0,0.0,0.14653909,0.0,0.14653909,88624
0.0,0.0,0.0,0.22749269,0.0,0.22749269,80913
0.0,0.0,0.0,59.954323,60.000000000000014,59.954323,85217
0.0,0.0,0.0,0.013377428,0.0,0.013377428,52723
0.0,0.0,0.0,228.38821,248.00000000000003,228.38821,19551
0.0,0.0,0.0,352.0515,371.0000000000003,352.0515,50336
0.0,0.0,0.0,270.66586,205.97999999999996,270.66586,56447
0.0,0.0,0.0,96.59468,53.00000000000003,96.59468,80434
0.0,0.0,0.0,496.59344,521.85,496.59344,2464
0.0,0.0,0.0,188.52013,211.99999999999997,188.52013,17935
0.0,0.0,0.0,0.013377428,0.0,0.013377428,255209
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,225794
0.0,0.0,0.0,634.4228,615.6999999999999,634.4228,191493
0.0,0.0,0.0,123.116356,88.85000000000001,123.116356,27042
0.0,0.0,0.0,554.0896,482.68000000000006,554.0896,54974
0.0,0.0,0.0,63.956886,30.50000000000001,63.956886,26912
0.0,0.0,0.0,43.244495,30.000000000000007,43.244495,5639
0.0,0.0,0.0,164.8592,164.85,164.8592,59400
0.0,0.0,0.0,0.013377428,0.0,0.013377428,15864
0.0,0.0,0.0,-0.00388968,0.0,-0.00388968,9175
0.0,0.0,0.0,139.09578,159.0,139.09578,91474
0.0,0.0,0.0,69.4999,60.000000000000014,69.4999,7742
0.0,0.0,0.0,137.05025,272.5,137.05025,1527
0.0,0.0,0.0,901.3142,906.8499999999998,901.3142,152520
0.0,0.0,0.0,215.02669,159.0,215.02669,81039
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,88305
0.0,0.0,0.0,105.25882,106.0,105.25882,86099
0.0,0.0,0.0,253.20108,417.49999999999994,253.20108,153
0.0,0.0,0.0,649.0201,816.9999999999999,649.0201,151255
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,58859
0.0,0.0,0.0,84.95644,65.0,84.95644,60444
0.0,0.0,0.0,78.02711,106.0,78.02711,8821
0.0,0.0,0.0,115.74936,143.43000000000004,115.74936,28142
0.0,0.0,0.0,80.14392,159.0,80.14392,198007
0.0,0.0,0.0,529.75494,433.9999999999999,529.75494,83006
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,54270
0.0,0.0,0.0,296.47845,323.8499999999999,296.47845,90938
0.0,0.0,0.0,0.013377428,0.0,0.013377428,54436
0.0,0.0,0.0,377.9683,436.93,377.9683,227336
0.0,0.0,0.0,252.72235,265.00000000000006,252.72235,2452
0.0,0.0,0.0,69.4999,60.000000000000014,69.4999,443166
0.0,0.0,0.0,0.013377428,0.0,0.013377428,17745
0.0,0.0,0.0,210.27322,270.8499999999999,210.27322,28930
0.0,0.0,0.0,259.89523,276.70000000000005,259.89523,3394
0.0,0.0,0.0,119.687325,108.31,119.687325,86990
0.0,0.0,0.0,279.13196,515.0,279.13196,50490
0.0,0.0,0.0,716.0839,726.0,716.0839,24096
0.0,0.0,0.0,794.4419,644.1,794.4419,153574
0.0,0.0,0.0,293.76862,392.8500000000001,293.76862,7804
0.0,0.0,0.0,102.98622,46.999999999999986,102.98622,9763
0.0,0.0,0.0,0.013377428,0.0,0.013377428,86163
0.0,0.0,0.0,76.99109,185.00000000000003,76.99109,85171
0.0,0.0,0.0,67.71046,36.500000000000014,67.71046,10807
0.0,0.0,0.0,269.18503,376.84999999999997,269.18503,12486
0.0,0.0,0.0,167.06233,167.85999999999999,167.06233,197665
0.0,0.0,0.0,117.405304,89.00000000000001,117.405304,191077
0.0,0.0,0.0,185.6055,272.0,185.6055,52791
0.0,0.0,0.0,187.33699,349.85,187.33699,53707
0.0,0.0,0.0,0.013377428,0.0,0.013377428,6949
0.0,0.0,0.0,163.01883,172.00000000000003,163.01883,12214
0.0,0.0,0.0,78.11882,58.00000000000001,78.11882,440786
0.0,0.0,0.0,824.1176,840.0,824.1176,18178
0.0,0.0,0.0,133.09192,111.84999999999998,133.09192,194037
0.0,0.0,0.0,103.03431,89.50000000000007,103.03431,50343
0.0,0.0,0.0,58.583767,58.849999999999994,58.583767,191307
0.0,0.0,0.0,0.013377428,0.0,0.013377428,312567
0.0,0.0,0.0,137.77177,148.00000000000003,137.77177,29946
0.0,0.0,0.0,0.013377428,0.0,0.013377428,3138
0.0,0.0,0.0,118.98285,126.85,118.98285,422282
0.0,0.0,0.0,0.013377428,0.0,0.013377428,83424
0.0,0.0,0.0,0.013377428,0.0,0.013377428,7108
0.0,0.0,0.0,105.90361,85.5,105.90361,57944
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,195171
0.0,0.0,0.0,307.9152,263.8500000000001,307.9152,89826
0.0,0.0,0.0,0.013377428,0.0,0.013377428,91042
0.0,0.0,0.0,54.243526,112.0,54.243526,56831
0.0,0.0,0.0,111.75815,386.00000000000006,111.75815,60356
0.0,0.0,0.0,0.013377428,0.0,0.013377428,88646
0.0,0.0,0.0,435.61823,359.6999999999999,435.61823,7743
0.0,0.0,0.0,281.00662,219.50000000000006,281.00662,86376
0.0,0.0,0.0,63.84961,58.849999999999994,63.84961,85969
0.0,0.0,0.0,304.84784,367.0,304.84784,55182
0.0,0.0,0.0,0.013377428,0.0,0.013377428,15022
